instance,generators,cont_params,cost,violation,expectation_jobs,total_expectation_jobs,total_fidelity_jobs,classical_opt_time,optimized_bitstrings,max_inner,ar_uniform,ar_opt,error,history
10,,,,,,,,,,,,,Timeout after 1800.0s,
11,,,,,,,,,,,,,Timeout after 1800.0s,
12,11000,"[2.8299619116154426, 3.596854303571571, 0.0, 0.0, 0.0, 0.13296153467288896, 0.06636011610062247, 0.0, 0.0, 0.0, 1.1670915675185178, 1.1660995295917218, 1.165192807194257, 1.166310917927405, 1.165652492434829, 0.0, -0.004818412943465814, -0.0038712134627654753, -0.0012462076163344547, -0.0022958234865055253]",32.50693917981314,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 202.0323341768235, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11000"", ""params"": [2.8299619116154426, 3.596854303571571, 0.0, 0.0, 0.0, 0.13296153467288896, 0.06636011610062247, 0.0, 0.0, 0.0, 1.1670915675185178, 1.1660995295917218, 1.165192807194257, 1.166310917927405, 1.165652492434829, 0.0, -0.004818412943465814, -0.0038712134627654753, -0.0012462076163344547, -0.0022958234865055253], ""fun"": 32.50693917981314, ""violation"": 0, ""total"": 32.50693917981314, ""extra"": {}}}]"
13,,,,,,,,,,,,,Timeout after 1800.0s,
14,,,,,,,,,,,,,Timeout after 1800.0s,
15,,,,,,,,,,,,,Timeout after 1800.0s,
16,01011,"[0.0, 2.973154011309675, 0.0, 0.497167598199071, 5.255794452970623, 0.0, 0.25802068104610915, 0.0, -5.920589086962195e-11, 0.20510957001385952, 1.095496298120846, 1.0976666794317873, 1.0980573078378282, 1.09580880685453, 1.0983603970877542, 0.0, 0.0035065124548172236, 0.004171562720753604, 0.0005366063705785336, 0.004841765017680957]",31.724474909471375,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 163.0164996618405, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01011"", ""params"": [0.0, 2.973154011309675, 0.0, 0.497167598199071, 5.255794452970623, 0.0, 0.25802068104610915, 0.0, -5.920589086962195e-11, 0.20510957001385952, 1.095496298120846, 1.0976666794317873, 1.0980573078378282, 1.09580880685453, 1.0983603970877542, 0.0, 0.0035065124548172236, 0.004171562720753604, 0.0005366063705785336, 0.004841765017680957], ""fun"": 31.724474909471375, ""violation"": 0, ""total"": 31.724474909471375, ""extra"": {}}}]"
17,,,,,,,,,,,,,Timeout after 1800.0s,
18,,,,,,,,,,,,,Timeout after 1800.0s,
19,,,,,,,,,,,,,Timeout after 1800.0s,
20,,,,,,,,,,,,,Timeout after 1800.0s,
21,,,,,,,,,,,,,Timeout after 1800.0s,
22,,,,,,,,,,,,,Timeout after 1800.0s,
23,,,,,,,,,,,,,Timeout after 1800.0s,
24,,,,,,,,,,,,,Timeout after 1800.0s,
25,,,,,,,,,,,,,Timeout after 1800.0s,
26,01100,"[0.0, 2.4787344648600835, 1.6345311247517147, 0.0, 0.0, 0.0, 0.02723563669783313, 0.0839056613040658, 0.0, 0.0, 1.0011569291917373, 1.0020265319971071, 0.9988603964451159, 0.9992047175916141, 1.0008166443215456, 0.0, 0.0025764436003397105, -0.005747916438824352, -0.00487173290499527, -0.000890362505754379]",9.317446135156587,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.05435027927160263, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [0.7483509561586295, 1.039475268571817, 0.7703635461004326, 1.2494482621734042, 0.30056111311477424, 0.024540801933449034, 0.027910989795877438, 0.020912706243447824, 0.011488813629898044, 0.012763158029497875, 1.5928606034763817, 1.5929659604610684, 1.5914402175807554, 1.59186026823424, 1.5926469199128523, 0.0, 0.00014054754765099786, -0.0021383242388678344, -0.0015610134840352329, -0.0003516626258105675], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 23.31693289335817, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [0.7841145353120013, 2.005365473101803, 0.0, 0.9219571607541258, 0.40484441889257117, 0.018286509272166893, 0.03571354415955638, 0.0, 0.029496603180850824, 0.03416845145172186, 1.0017475567221379, 1.0021889335298702, 0.9981436748849484, 0.999079955595055, 1.0014074730871474, 0.0, 0.0011203145638415252, -0.008746839520067475, -0.0067431119901851634, -0.0008893125475640753], ""fun"": 10.537543834966383, ""violation"": 0, ""total"": 10.537543834966383, ""extra"": {}}}, {""time"": 154.71373089030385, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 2.4787502666981456, 1.6345311247377958, 0.0, 0.0, 0.0, 0.016256849004290554, 0.09492551636135645, 0.0, 0.0, 0.9999985153899323, 1.000859800613656, 0.9977372689739221, 0.9980742050116915, 0.9996578351382331, 0.0, 0.0025855452250560383, -0.0057767233605507525, -0.004894972301699768, -0.0008924272250655921], ""fun"": 9.317512732506582, ""violation"": 0, ""total"": 9.317512732506582, ""extra"": {}}}, {""time"": 438.84423956554383, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 2.478725379281938, 1.6345311247517151, 0.0, 0.0, 0.0, 0.015556038041459531, 0.09556118446499295, 0.0, 0.0, 1.0019204064115523, 1.002779447556041, 0.9996657741591621, 1.0000016111597814, 1.001580381623831, 0.0, 0.0025758212946342153, -0.005755418180733599, -0.004876858210933227, -0.0008890056241059957], ""fun"": 9.317477074475235, ""violation"": 0, ""total"": 9.317477074475235, ""extra"": {}}}, {""time"": 549.5756664620712, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 2.4787344649380296, 1.6345311247517151, 0.0, 0.0, 0.0, 0.027234751844434045, 0.08390654633819018, 0.0, 0.0, 1.0011569282486, 1.0020265303041864, 0.9988603985481626, 0.9992047190703414, 1.0008166433780867, 0.0, 0.0025764438561967926, -0.005747917687708296, -0.004871733869552281, -0.0008903625074324425], ""fun"": 9.317446135228678, ""violation"": 0, ""total"": 9.317446135228678, ""extra"": {}}}, {""time"": 549.7527504255995, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 2.478734464923866, 1.6345311247517151, 0.0, 0.0, 0.0, 0.02723491285591647, 0.08390638529415516, 0.0, 0.0, 1.0011569284202333, 1.0020265306122536, 0.9988603981655009, 0.9992047188012835, 1.0008166435497785, 0.0, 0.002576443809639944, -0.005747917460456257, -0.004871733694037541, -0.0008903625071270665], ""fun"": 9.317446135215638, ""violation"": 0, ""total"": 9.317446135215638, ""extra"": {}}}, {""time"": 549.8515864573419, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 2.4787344648600835, 1.6345311247517147, 0.0, 0.0, 0.0, 0.02723563669783313, 0.0839056613040658, 0.0, 0.0, 1.0011569291917373, 1.0020265319971071, 0.9988603964451159, 0.9992047175916141, 1.0008166443215456, 0.0, 0.0025764436003397105, -0.005747916438824352, -0.00487173290499527, -0.000890362505754379], ""fun"": 9.317446135156587, ""violation"": 0, ""total"": 9.317446135156587, ""extra"": {}}}]"
27,,,,,,,,,,,,,Timeout after 1800.0s,
28,10010,"[0.5834521036001912, 0.0, 0.0, 0.688426431116555, 0.0, 0.02708272246278857, 0.0, 0.0, 0.011974766391774484, 0.0, 1.0001484069922002, 0.9995391470738371, 1.000135891752766, 1.000148366548183, 1.0000681674684988, 0.0, -0.0028390338105423974, 1.8719997170801343e-05, 8.448216240944533e-05, -0.00024182902783096645]",2.936786382672616,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.20248225051909685, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10010"", ""params"": [0.5826548737520023, 0.0, 0.0, 0.6892999625456089, 0.0, 0.03342226327514664, 0.0, 0.0, 0.006000967321630584, 0.0, 0.895270802263166, 0.8945883581774872, 0.8952512785526046, 0.8952647217381973, 0.8951768030072248, 0.0, -0.0035434673694583773, 2.6664833122109875e-05, 0.00010892753684660123, -0.0002989924477063247], ""fun"": 1000000000.0, ""violation"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 2.9455142999067903, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10010"", ""params"": [0.5834521036001912, 0.0, 0.0, 0.688426431116555, 0.0, 0.02708272246278857, 0.0, 0.0, 0.011974766391774484, 0.0, 1.0001484069922002, 0.9995391470738371, 1.000135891752766, 1.000148366548183, 1.0000681674684988, 0.0, -0.0028390338105423974, 1.8719997170801343e-05, 8.448216240944533e-05, -0.00024182902783096645], ""fun"": 2.936786382672616, ""violation"": 0, ""total"": 2.936786382672616, ""extra"": {}}}]"
29,,,,,,,,,,,,,Timeout after 1800.0s,
30,11111,"[0.23703788251621835, 0.20739876529565252, 0.169260763853604, 0.6797624766650063, 3.376005987495836, 0.010211873317608927, 0.011270023011243423, 0.008687773185561961, 0.03746571996739449, 0.2768195050181582, 1.0404407210496949, 1.0400868322085426, 1.0401515109260588, 1.0401102675380485, 1.04284771412447, 0.0, -8.419634586110524e-05, 4.782389145796831e-05, 3.1798193736024025e-05, 0.005776436570075629]",22.85134187404941,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 0.6907328190281987, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00001"", ""params"": [0.0, 0.0, 0.0, 0.0, 4.671488054642819, 0.0, 0.0, 0.0, 0.0, 0.350695055871823, 1.4414966124626292, 1.4396072635310404, 1.4398321703361014, 1.4395605604138388, 1.4438966083969926, 0.0, -0.0034026755373639714, -0.0028130770040350386, -0.0035961318274603652, 0.004172589128424091], ""fun"": 39.85909144002123, ""violation"": 0, ""total"": 39.85909144002123, ""extra"": {}}}, {""time"": 218.13821416627616, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10001"", ""params"": [0.2370378824359019, 0.0, 0.0, 0.0, 4.434073467895364, 0.010211873382108105, 0.0, 0.0, 0.0, 0.3393426633783196, 1.3680289153972625, 1.3663114849740527, 1.366548502052538, 1.3662622718102158, 1.3704327899130688, 0.0, -0.0031986050917407016, -0.002544064124015914, -0.0034133746391154926, 0.004395338530390284], ""fun"": 35.35607789179595, ""violation"": 0, ""total"": 35.35607789179595, ""extra"": {}}}, {""time"": 645.5215003229678, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 0.0, 0.6797624766650319, 3.9890077415845075, 0.0, 0.0, 0.0, 1.624402281056516e-11, 0.3418057650186911, 1.4433801259129473, 1.4422822958906474, 1.4423705895702743, 1.4422789475089814, 1.4454708421488434, 0.0, -0.0013577574218171643, -0.0012942903744147375, -0.0012957822021118744, 0.003543064088888345], ""fun"": 34.16848487001319, ""violation"": 0, ""total"": 34.16848487001319, ""extra"": {}}}, {""time"": 684.3753859037533, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 0.0, 0.6797624766636786, 3.9905343942917217, 0.0, 0.0, 0.0, 0.03746571894331395, 0.30930676950086694, 1.2306263324564888, 1.229527101068841, 1.2295818097762719, 1.229546925042865, 1.233025456075474, 0.0, -0.0019090931753984362, -0.0018146198496214107, -0.0018260880918721262, 0.004887160046435913], ""fun"": 27.020200505569136, ""violation"": 0, ""total"": 27.020200505569136, ""extra"": {}}}, {""time"": 1200.938815113157, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [0.23703788251621835, 0.20739876529565252, 0.169260763853604, 0.6797624766650063, 3.376005987495836, 0.010211873317608927, 0.011270023011243423, 0.008687773185561961, 0.03746571996739449, 0.2768195050181582, 1.0404407210496949, 1.0400868322085426, 1.0401515109260588, 1.0401102675380485, 1.04284771412447, 0.0, -8.419634586110524e-05, 4.782389145796831e-05, 3.1798193736024025e-05, 0.005776436570075629], ""fun"": 22.85134187404941, ""violation"": 0, ""total"": 22.85134187404941, ""extra"": {}}}]"
31,,,,,,,,,,,,,Timeout after 1800.0s,
32,,,,,,,,,,,,,Timeout after 1800.0s,
33,,,,,,,,,,,,,Timeout after 1800.0s,
34,,,,,,,,,,,,,Timeout after 1800.0s,
35,11111,"[0.5028340000190138, 1.3677857336423969, 0.21756653752687374, 0.7262910366754408, 2.6751096769640936, 0.017065221441274488, 0.011878707551252275, 0.013900259986170381, 0.05360373084691888, 0.12841785042079645, 0.999992484451028, 1.0012336014420826, 0.9999683349368962, 0.9998577101133391, 0.9998606888087098, 0.0, 0.027037579982256345, 8.956061321948531e-05, -0.003148420935233816, -0.0030742460393657326]",20.111388927967404,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 52.721675272099674, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11011"", ""params"": [0.502834000019141, 1.4426055583465647, 0.0, 0.7262910366755858, 2.8180394817080994, 0.01706526789432431, 0.02415404582426929, 0.0, 0.058764036332759756, 0.12841796761747337, 0.9998963424257001, 1.0014782384394174, 0.9997952303267637, 0.9999517395854955, 0.9999519825475368, 0.0, 0.028944918683782666, -0.00014921149098925523, -0.0016591652814065849, -0.0015841721151545513], ""fun"": 20.73306278835197, ""violation"": 0, ""total"": 20.73306278835197, ""extra"": {}}}, {""time"": 503.6994634754956, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""11111"", ""params"": [0.5028340000190138, 1.3677857336423969, 0.21756653752687374, 0.7262910366754408, 2.6751096769640936, 0.017065221441274488, 0.011878707551252275, 0.013900259986170381, 0.05360373084691888, 0.12841785042079645, 0.999992484451028, 1.0012336014420826, 0.9999683349368962, 0.9998577101133391, 0.9998606888087098, 0.0, 0.027037579982256345, 8.956061321948531e-05, -0.003148420935233816, -0.0030742460393657326], ""fun"": 20.111388927967404, ""violation"": 0, ""total"": 20.111388927967404, ""extra"": {}}}]"
36,,,,,,,,,,,,,Timeout after 1800.0s,
37,10101,"[0.5853791972161413, 0.0, 0.5482396588140376, 0.0, 0.2027958976808446, 0.02140146651241505, 0.0, 0.04580878472253196, 0.0, 0.008556886916779829, 1.0008334004139197, 1.0007225091278817, 1.0005380047365975, 0.9985843245234459, 0.9994647614471479, 0.0, -0.0004373627308911413, -0.0007605906180083245, -0.010828177673908708, -0.005890929135042552]",3.4358023627752265,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 976.6686508981511, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.48258569356587827, 0.38829100308108494, 0.2976330409137501, 0.16752917146056356, 0.0, 0.022851974299937034, 0.03927071404624891, 0.0029521045760511865, 0.008556878201075422, 1.0003954633304324, 1.0006392336623335, 1.000352046439169, 0.9989006269761366, 0.9997807774047762, 0.0, 0.0006008893067133863, -1.3214904303576714e-05, -0.007302540025838357, -0.002368414992170964], ""fun"": 4.9183126109041595, ""violation"": 0, ""total"": 4.9183126109041595, ""extra"": {}}}, {""time"": 976.8071386506781, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.48258569358613396, 0.388291003067546, 0.2976330409188929, 0.1675291714479349, 0.0, 0.02266922501683206, 0.03945345425415937, 0.002952109362058146, 0.00855688248593619, 1.0003954632910674, 1.0006392336109105, 1.000352046404357, 0.9989006270375022, 0.9997807774660862, 0.0, 0.0006008893110452703, -1.321490666563221e-05, -0.007302540043507934, -0.0023684150104462095], ""fun"": 4.918312610894608, ""violation"": 0, ""total"": 4.918312610894608, ""extra"": {}}}, {""time"": 977.5104004824534, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01111"", ""params"": [0.0, 0.4825856935878061, 0.38829100306627845, 0.297633040919833, 0.16752917144647517, 0.0, 0.0226436598902035, 0.03947901710111534, 0.0029521109274979695, 0.008556883199298933, 1.000395463281319, 1.0006392335981324, 1.0003520463957527, 0.9989006270530629, 0.9997807774816329, 0.0, 0.0006008893121316808, -1.3214907258295067e-05, -0.00730254004792969, -0.002368415015021549], ""fun"": 4.918312610892827, ""violation"": 0, ""total"": 4.918312610892827, ""extra"": {}}}, {""time"": 1015.6834744792432, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01101"", ""params"": [0.0, 0.6603742534870415, 0.4978231796187021, 0.0, 0.1784136775812688, 0.0, 0.024800160927471438, 0.04303248235220986, 0.0, 0.00855688755428436, 1.0006514366923558, 1.0010376406612556, 1.0005307565793309, 0.9985328522747872, 0.999413335838012, 0.0, 0.0009795961922608736, -0.00015590539304781147, -0.010482670420799962, -0.00554491330996897], ""fun"": 4.084117024479516, ""violation"": 0, ""total"": 4.084117024479516, ""extra"": {}}}, {""time"": 1078.1654937742278, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 0.6603742554656108, 0.6768007352250819, 0.0, 0.0, 0.0, 0.02716449376390394, 0.05198104880553141, 0.0, 0.0, 1.0008563620815067, 1.0013414485099772, 1.0006837642670294, 0.9982697238808993, 0.9991504459455786, 0.0, 0.0012114831127952174, -0.0002427016936692479, -0.012448457179708827, -0.0075080989990273074], ""fun"": 3.705891179700961, ""violation"": 0, ""total"": 3.705891179700961, ""extra"": {}}}, {""time"": 1155.1818870240822, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01100"", ""params"": [0.0, 0.660374255713586, 0.6768007349772309, 0.0, 0.0, 0.0, 0.029674840351479683, 0.049470702217896616, 0.0, 0.0, 1.0008563620807593, 1.0013414485092302, 1.000683764266282, 0.9982697238801503, 0.99915044594483, 0.0, 0.0012114831127971104, -0.0002427016936698988, -0.01244845717973025, -0.00750809899904018], ""fun"": 3.7058911796334666, ""violation"": 0, ""total"": 3.7058911796334666, ""extra"": {}}}, {""time"": 1513.1016983529553, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [0.5853791972116194, 0.0, 0.5482396588104976, 0.0, 0.2027958976889316, 0.021401569440089144, 0.0, 0.045808683963431095, 0.0, 0.008556884749638227, 1.0008334005382222, 1.00072250900862, 1.0005380047502654, 0.9985843245141537, 0.9994647614378644, 0.0, -0.00043736265556754025, -0.0007605905895034004, -0.010828177641589038, -0.005890929102631119], ""fun"": 3.435802362778799, ""violation"": 0, ""total"": 3.435802362778799, ""extra"": {}}}, {""time"": 1513.133999146521, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [0.5853791972150167, 0.0, 0.5482396588132888, 0.0, 0.20279589768299633, 0.021401476271169995, 0.0, 0.045808775498612134, 0.0, 0.00855688638256437, 1.0008334004271122, 1.0007225091184195, 1.0005380047391363, 0.9985843245203232, 0.9994647614440282, 0.0, -0.0004373627239030031, -0.000760590615216813, -0.01082817767019198, -0.00589092913129496], ""fun"": 3.4358023627765633, ""violation"": 0, ""total"": 3.4358023627765633, ""extra"": {}}}, {""time"": 1513.2958831805736, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10101"", ""params"": [0.5853791972161413, 0.0, 0.5482396588140376, 0.0, 0.2027958976808446, 0.02140146651241505, 0.0, 0.04580878472253196, 0.0, 0.008556886916779829, 1.0008334004139197, 1.0007225091278817, 1.0005380047365975, 0.9985843245234459, 0.9994647614471479, 0.0, -0.0004373627308911413, -0.0007605906180083245, -0.010828177673908708, -0.005890929135042552], ""fun"": 3.4358023627752265, ""violation"": 0, ""total"": 3.4358023627752265, ""extra"": {}}}]"
38,,,,,,,,,,,,,Timeout after 1800.0s,
39,,,,,,,,,,,,,Timeout after 1800.0s,
40,,,,,,,,,,,,,Timeout after 1800.0s,
41,,,,,,,,,,,,,Timeout after 1800.0s,
42,,,,,,,,,,,,,Timeout after 1800.0s,
43,00001,"[0.0, 0.0, 0.0, 0.0, 1.8386226741295952, 0.0, 0.0, 0.0, 0.0, 0.09023354120226296, 1.0000796364737379, 0.9998933088119455, 0.9998347749163323, 0.999890810738875, 1.000798385963907, 0.0, -0.0007287195270326525, -0.001140751926598198, -0.0005013239161584185, 0.0017991580604901115]",4.5532489049531115,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 652.0631583863869, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00001"", ""params"": [0.0, 0.0, 0.0, 0.0, 1.8386226741295952, 0.0, 0.0, 0.0, 0.0, 0.09023354120226296, 1.0000796364737379, 0.9998933088119455, 0.9998347749163323, 0.999890810738875, 1.000798385963907, 0.0, -0.0007287195270326525, -0.001140751926598198, -0.0005013239161584185, 0.0017991580604901115], ""fun"": 4.5532489049531115, ""violation"": 0, ""total"": 4.5532489049531115, ""extra"": {}}}]"
44,,,,,,,,,,,,,Timeout after 1800.0s,
